ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
D8E7S,4000.0,345.0,,,4.0,1.0,3.0,18.0,6000.0,6.0,3.0,3.0,1928.0,0.0,1.0,4.0
60H40,,2000.0,,,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
ZYUTZ,,2141.66,,20.0,30.0,18.0,12.0,,110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,4.0
SDHXZ,,,,,8.31(p1),,,,,,,,,0.0,0.0,
MRRKN,,,,,8.31(p1),,,,,,,,,0.0,0.0,
8E75A,,,,,8.31(p1),,,,,,,,,0.0,1.0,2.0
YX2WP,,,,,8.31(p1),,,,,,,,,0.0,0.0,
L4RN6,,,,,9.88(p1),,,,,5.0,5.0,,1920.0,0.0,1.0,2.0
EHACO,,,,,8.31(p1),,,,,5.0,,,1920.0,0.0,1.0,1.0
I4VDW,,,,,8.31(p1),,,,,,,,,0.0,1.0,2.0
V4HQX,,,1000.0,90.0,21.0,13.0,8.0,,30440.0,,,,1919.0,0.0,1.0,8.0
GPIPA,,2141.66,,20.0,30.0,18.0,12.0,,110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,3.0
6CZQT,,,,,11.46(p1),,,100.0,20450.0,44.0,5.0,39.0,1911.0,0.0,1.0,2.0
8YWO0,3000.0,,,5.0,12.0,,,20.0,15000.0,5.0,,,1919.0,0.0,1.0,2.0
AD3M7,,,,,8.31(p1),,,,,,,,,0.0,0.0,
K12DD,,,,,10.10(p1),,,,,,,,,0.0,1.0,3.0
DZV20,3000.0,2042.0,,,60.0,,,,99500.0,40.0,5.0,35.0,1921.0,0.0,1.0,3.0
9GAD9,8000.0,500.0,,2.0,14.0,7.0,7.0,75.0,28000.0,29.0,4.0,25.0,1927.0,0.0,1.0,2.0
CFRVF,,2000.0,,,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
JV6WH,,,,,8.31(p1),,,,,,,,,0.0,0.0,
Z4NHN,,,,,8.31(p1),,,,,,,,,0.0,0.0,
DLBL9,,,,,8.31(p1),,,,,,,,,0.0,1.0,
BX03C,,,,,8.31(p1),,,,,,,,,0.0,1.0,
8BR8J,8333.0,583.0,,,15.93(p1),,,,,30.0,1.0,29.0,1920.0,0.0,1.0,2.0
KJB5P,,,,,8.31(p1),,,,,,,,,0.0,0.0,
OACOE,,,,,7.29(p1),,,25.0,10400.0,,,,1922.0,1.0,0.0,
8S7I4,,,,,8.31(p1),,,,,,,,,0.0,0.0,
OSPCF,,,,,8.31(p1),,,,,,,,,0.0,0.0,
U08TD,,,,,8.31(p1),,,,,,,,1912.0,1.0,0.0,
3BRMP,,,,,8.31(p1),,,,,,,,,0.0,1.0,
RCCFX,75000.0,2042.0,,,25.75(p1),,,,99500.0,60.0,,,1921.0,0.0,1.0,3.0
0CE69,,2042.0,,,24.39(p1),,,,150000.0,,6.0,,1921.0,0.0,1.0,3.0
QG542,,,,,8.31(p1),,,,,,,,,1.0,0.0,
63TXI,,,,,8.31(p1),,,,,,,,,1.0,0.0,
QNNG2,,,,,8.31(p1),,,,,,,,,0.0,0.0,
IP0CO,,,,,8.31(p1),,,,,,,,,1.0,0.0,
TGZAE,1000.0,40.0,,50.0,6.41(p1),1.0,,8.0,1600.0,4.0,3.0,1.0,1918.0,0.0,1.0,2.0
L4N60,8000.0,500.0,,,18.0,12.0,6.0,90.0,20000.0,6.0,2.0,4.0,1921.0,0.0,1.0,2.0
KQPTJ,5000.0,375.0,,16.0,7.0,4.0,3.0,45.0,15000.0,24.0,6.0,18.0,1914.0,0.0,1.0,2.0
UELBA,,200.0,,28.0,8.14(p1),,,,20000.0,20.0,6.0,14.0,1922.0,0.0,1.0,2.0
SDMB9,4000.0,125.0,,,8.0,4.0,2.0,17.0,15000.0,5.0,5.0,0.001,1922.0,0.0,1.0,2.0
ONLOM,,,,,8.31(p1),,,,,,,,,1.0,0.0,
XG9FQ,,,,,8.31(p1),,,,,,,,,1.0,0.0,
PFKA5,4000.0,150.0,,,22.0,10.0,12.0,16.0,10000.0,12.0,,,1922.0,0.0,1.0,2.0
AB98M,667.0,,,,7.95(p1),,,,,,,,1921.0,0.0,1.0,2.0
9RT4W,,,,,8.31(p1),,,,,,,,,0.0,0.0,
SVGW6,,,,,8.31(p1),,,,,,,,,0.0,0.0,
7Y1BR,3000.0,125.0,,,7.0,3.0,4.0,22.0,9000.0,3.0,2.0,1.0,1921.0,0.0,1.0,2.0
QUV30,,,,,10.10(p1),,,,,,,,,0.0,1.0,3.0
ND9F6,,,,,8.31(p1),,,,,,,,,1.0,0.0,
2EK4T,,125.0,,15.0,10.04(p1),9.0,,30.0,10680.0,14.0,,,1917.0,0.0,1.0,2.0
SUNVX,,,,10.0,8.0,4.0,4.0,35.0,10000.0,10.0,1.0,9.0,1921.0,0.0,1.0,2.0
9AH3C,,725.0,,,19.0,8.0,11.0,87.0,33500.0,81.0,,,1920.0,0.0,1.0,2.0
I5UCY,,275.0,,,9.08(p1),,,280.0,17500.0,24.0,5.0,19.0,1917.0,0.0,1.0,2.0
