ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
D8E7S,4000,345,,,4,1,3,18,6000,6,3,3,1928,0,1,4
60H40,,2000,,,30,18,12,200,90000,88,8,80,1924,0,1,2
ZYUTZ,,2141.66,,20,30,18,12,,110000,149,12,137,1926,0,1,4
SDHXZ,,,,,,,,,,,,,,0,0,
MRRKN,,,,,,,,,,,,,,0,0,
8E75A,,,,,,,,,,,,,,0,1,2
YX2WP,,,,,,,,,,,,,,0,0,
L4RN6,,,,,,,,,,5,5,,1920,0,1,2
EHACO,,,,,,,,,,5,,,1920,0,1,1
I4VDW,,,,,,,,,,,,,,0,1,2
V4HQX,,,1000,90,21,13,8,,30440,,,,1919,0,1,8
GPIPA,,2141.66,,20,30,18,12,,110000,149,12,137,1926,0,1,3
6CZQT,,,,,,,,100,20450,44,5,39,1911,0,1,2
8YWO0,3000,,,5,12,,,20,15000,5,,,1919,0,1,2
AD3M7,,,,,,,,,,,,,,0,0,
K12DD,,,,,,,,,,,,,,0,1,3
DZV20,3000,2042,,,60,,,,99500,40,5,35,1921,0,1,3
9GAD9,8000,500,,2,14,7,7,75,28000,29,4,25,1927,0,1,2
CFRVF,,2000,,,30,18,12,200,90000,88,8,80,1924,0,1,2
JV6WH,,,,,,,,,,,,,,0,0,
Z4NHN,,,,,,,,,,,,,,0,0,
DLBL9,,,,,,,,,,,,,,0,1,
BX03C,,,,,,,,,,,,,,0,1,
8BR8J,8333,583,,,,,,,,30,1,29,1920,0,1,2
KJB5P,,,,,,,,,,,,,,0,0,
OACOE,,,,,,,,25,10400,,,,1922,1,0,
8S7I4,,,,,,,,,,,,,,0,0,
OSPCF,,,,,,,,,,,,,,0,0,
U08TD,,,,,,,,,,,,,1912,1,0,
3BRMP,,,,,,,,,,,,,,0,1,
RCCFX,75000,2042,,,,,,,99500,60,,,1921,0,1,3
0CE69,,2042,,,,,,,150000,,6,,1921,0,1,3
QG542,,,,,,,,,,,,,,1,0,
63TXI,,,,,,,,,,,,,,1,0,
QNNG2,,,,,,,,,,,,,,0,0,
IP0CO,,,,,,,,,,,,,,1,0,
TGZAE,1000,40,,50,,1,,8,1600,4,3,1,1918,0,1,2
L4N60,8000,500,,,18,12,6,90,20000,6,2,4,1921,0,1,2
KQPTJ,5000,375,,16,7,4,3,45,15000,24,6,18,1914,0,1,2
UELBA,,200,,28,,,,,20000,20,6,14,1922,0,1,2
SDMB9,4000,125,,,8,4,2,17,15000,5,5,0.001,1922,0,1,2
ONLOM,,,,,,,,,,,,,,1,0,
XG9FQ,,,,,,,,,,,,,,1,0,
PFKA5,4000,150,,,22,10,12,16,10000,12,,,1922,0,1,2
AB98M,667,,,,,,,,,,,,1921,0,1,2
9RT4W,,,,,,,,,,,,,,0,0,
SVGW6,,,,,,,,,,,,,,0,0,
7Y1BR,3000,125,,,7,3,4,22,9000,3,2,1,1921,0,1,2
QUV30,,,,,,,,,,,,,,0,1,3
ND9F6,,,,,,,,,,,,,,1,0,
2EK4T,,125,,15,,9,,30,10680,14,,,1917,0,1,2
SUNVX,,,,10,8,4,4,35,10000,10,1,9,1921,0,1,2
9AH3C,,725,,,19,8,11,87,33500,81,,,1920,0,1,2
I5UCY,,275,,,,,,280,17500,24,5,19,1917,0,1,2
WBVY9,3333,125,,,5,2,3,22,8000,6,2,4,1921,0,1,2
8UAYY,,150,,,,,,,,8,6,2,1906,0,1,2
MF2GF,,,,,,,,,,,,,,0,0,
I981Y,,,,,,,,,,,,,,0,0,
WDNX0,,,,,,,,,,,,,,0,0,
ONNV0,125,,,,1,,1,,9500,11,6,5,1920,1,0,
TE32V,5250,,,20,13,7,6,200,20000,10,5,5,1920,0,1,4
890JS,,,,,,,,,,,,,,0,0,
JER71,,,,,,,,,,,,,,1,0,
MKQGP,,,,,,,,,,,,,,1,0,
QVXUU,,,,,,,,,,,,,1925,1,0,
I5Y87,9166,333,,,4,2,2,46,53000,11,11,0.001,1919,0,1,2
4NEVN,,,,,,,,,,,,,,1,0,
XCD4P,,,,,,,,,,,,,,0,1,1
ZOLM0,,,,,,,,,,,,,,0,1,3
JWXYR,,,,,,,,,,,,,,0,0,
30SNC,,,,,,,,,,,,,,1,0,
VJRTQ,,,,,,,,,,,,,,0,0,
C2VK3,,,,,,,,,,,,,,0,0,
MJ833,,,,,,,,,,,,,,0,0,
HQF5X,,,,,,,,,,,,,,0,0,
58VA0,,,,,,,,,,,,,,1,0,
SN4Q3,,,,,,,,,,,,,,1,0,
4U9EJ,,,,,,,,,,,,,1928,1,0,
VP4IQ,,,,,,,,,,,,,,0,1,1
FDDSK,,,,,,,,,,,,,,0,0,
WEGSE,,,,,,,,,,,,,,0,1,
DAIP0,,,,,,,,,,,,,,1,0,
3IE7O,,,,,,,,,,,,,,0,0,
63M7U,,,,,,,,,,,,,,0,0,
TAFYO,,,,,,,,,,,,,,0,0,
RHJEJ,,,,20,,,,,,12,,,1916,1,0,
CETMQ,,,,,,,,,,29,4,25,,0,1,2
ZUJW5,3333,300,,30,4,2,2,,8000,7,5,2,1925,0,1,2
U3OUK,,,,,,,,,,,,,1915,0,1,3
RC4YA,,,,,,,,,,,,,,0,1,1
JCMHS,,,,,,,,,,,,,,0,0,
ZMAU2,,,,,,,,,,,,,,0,0,
XX2JO,,,,,,,,,,,,,,0,0,
VDK69,4000,131,2000,,4,2,2,,6500,6,5,1,1912,0,1,3
TBIZI,6000,317,,15,11,8,3,,20450,40,2,38,1911,0,1,2
PZR1E,,,,,,,,,,,,,,0,0,
TGHWM,2100,175,1500,,5,3,2,14,4500,11,2,9,1917,0,1,2
NFM4N,2800,45,1300,40,8,5,3,,8000,2,1,1,1915,0,1,2
H6ECA,,,,,,,,,,,,,,1,0,
10TER,,,,,,,,,,,,,,0,1,5
S2IX2,3000,75,1300,40,8,4,4,20,3500,1,1,0.001,1918,0,1,2
2T6O8,,,,,,,,,,5,5,0.001,1920,0,0,
V0EE6,,52,,10,,,,,12000,24,9,15,1917,0,1,2
MP2U2,18333,1125,,,,,,150,,80,5,75,1920,0,1,2
JGBO1,,,,,,,,,,,,,1920,1,0,
WZIAI,,,,,,,,,,,,,,0,0,
I4QP3,3333,,,,,,,,5000,7,3,4,1926,0,1,3
EJM3W,,,,,,,,,,,,,,0,0,
HQO9M,,,,,,,,,,,,,1902,1,0,
