ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
D8E7S,4000.0,345.0,2662.95(p2),,4.0,1.0,3.0,18.0,6000.0,6.0,3.0,3.0,1928.0,0.0,1.0,4.0
60H40,,2000.0,3400.19(p2),,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
ZYUTZ,,2141.66,3452.51(p2),20.0,30.0,18.0,12.0,80.99(p1),110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,4.0
SDHXZ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
MRRKN,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
8E75A,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,2.0
YX2WP,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
L4RN6,,,1960.64(p2),,9.88(p1),7.65(p1),0.97(p1),35.70(p1),,5.0,5.0,1.64(p2),1920.0,0.0,1.0,2.0
EHACO,,,1209.97(p2),,8.31(p1),8.32(p1),1.78(p1),35.70(p1),,5.0,2.99(p2),1.64(p2),1920.0,0.0,1.0,1.0
I4VDW,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,2.0
V4HQX,,,1000.0,90.0,21.0,13.0,8.0,38.21(p1),30440.0,13.52(p2),3.23(p2),1.64(p2),1919.0,0.0,1.0,8.0
GPIPA,,2141.66,3424.52(p2),20.0,30.0,18.0,12.0,80.99(p1),110000.0,149.0,12.0,137.0,1926.0,0.0,1.0,3.0
6CZQT,,,2572.30(p2),,11.46(p1),7.97(p1),1.87(p1),100.0,20450.0,44.0,5.0,39.0,1911.0,0.0,1.0,2.0
8YWO0,3000.0,,1795.80(p2),5.0,12.0,6.90(p1),4.21(p1),20.0,15000.0,5.0,2.11(p2),1.64(p2),1919.0,0.0,1.0,2.0
AD3M7,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
K12DD,,,1283.27(p2),,10.10(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,3.0
DZV20,3000.0,2042.0,3610.16(p2),,60.0,14.86(p1),12.89(p1),38.21(p1),99500.0,40.0,5.0,35.0,1921.0,0.0,1.0,3.0
9GAD9,8000.0,500.0,5952.64(p2),2.0,14.0,7.0,7.0,75.0,28000.0,29.0,4.0,25.0,1927.0,0.0,1.0,2.0
CFRVF,,2000.0,3400.19(p2),,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
JV6WH,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
